ชื่อศาล,ที่อยู่,โทรศัพท์,โทรสาร,เว็บไซต์,วันที่ตรวจสอบ
ศาลปกครองสูงสุด,"ศูนย์ราชการเฉลิมพระเกียรติ 80 พรรษา 5 ธันวาคม 2550 อาคาร C เลขที่ 120 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210","0 2141 1111","-","https://www.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองกลาง,"เลขที่ 120 หมู่ที่ 3 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210","0 2141 1111","-","https://www.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองเชียงใหม่,"เลขที่ 333 ถนนโชตนา ตำบลช้างเผือก (ในบริเวณศูนย์ราชการจังหวัดเชียงใหม่) อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50300","0 5310 7999","-","https://cmi.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองสงขลา,"เลขที่ 1111 หมู่ 2 ถนนสงขลา-เกาะยอ ตำบลพะวง อำเภอเมืองสงขลา จังหวัดสงขลา 90100","074 334 945-8","0 7433 4931","https://ska.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองนครราชสีมา,"เลขที่ 345 หมู่ 6 ถนนมิตรภาพ (เลี่ยงเมือง) ตำบลหนองกระทุ่ม อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000","044 307 300-2","044-307300-2 ต่อ 1122","https://nma.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองขอนแก่น,"เลขที่ 333 หมู่ที่ 2 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000","0 4325 8681-2","043 258 660","https://kkn.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองพิษณุโลก,"เลขที่ 111 หมู่ที่ 8 ถนนพิษณุโลก-นครสวรรค์ ตำบลท่าทอง อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000","055 909 550-9","055 909 560","https://plk.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองระยอง,"เลขที่ 777 ถนนสุขุมวิท ตำบลเนินพระ อำเภอเมืองระยอง จังหวัดระยอง 21150","0 3869 4513-30","0 3869 4511-12","https://ryg.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองนครศรีธรรมราช,"อาคาร ซี.พี.ทาวเวอร์ นครศรีธรรมราช เลขที่ 345 ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช 80000","075 355 130-5","075 355 137","https://nst.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองอุดรธานี,"เลขที่ 999 หมู่ 7 ตำบลบ้านขาว อำเภอเมือง จังหวัดอุดรธานี 41000","042 230 664-6","-","https://uth.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองอุบลราชธานี,"เลขที่ 444 หมู่ 3 ถนนแจ้งสนิท (กิโลเมตรที่ 9) ตำบลแจระแม อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี 34000","045 319 600-04","-","https://ubp.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองเพชรบุรี,"เลขที่ 980/98 ถนนเพชรเกษม ตำบลชะอำ อำเภอชะอำ จังหวัดเพชรบุรี 76120","0 3270 9400","0 3270 9444","https://pbr.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองนครสวรรค์,"เลขที่ 9/9 หมู่ที่ 7 ตำบลกลางแดด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000","0 5621 9234","-","https://nsn.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองสุพรรณบุรี,"เลขที่ 333 หมู่ที่ 6 ตำบลสนามชัย อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี","035 432 333","-","https://spn.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองภูเก็ต,"เลขที่ 33/3 หมู่ 5 ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต","076 397 400","-","https://pkt.admincourt.go.th/","20 กรกฎาคม 2569"
ศาลปกครองยะลา,"เลขที่ 199 หมู่ 1 ตำบลท่าสาป อำเภอเมืองยะลา จังหวัดยะลา 95000","073 220 700","-","https://yla.admincourt.go.th/","20 กรกฎาคม 2569"
