หมวดหมู่,ประเด็น,ข้อมูลอ้างอิง,คำถาม,แหล่งที่มาข้อมูล,วันที่อัปเดทข้อมูลล่าสุด
หมวดหมู่หลัก,ประเด็นเป็นส่วนย่อยของหมวดหมู่หลัก,ใช้ข้อมูลอ้างอิงที่สามารถตอบคำถามในหมวดหมู่และประเด็นที่ตั้งไว้ได้ครอบคลุม,หากมีตัวอย่างคำถามมากว่า 1 ข้อ ให้ขึ้นบรรทัดใหม่พร้อมใส่ ; (semi-colon) ด้านหลัง,ใส่ตามรายละเอียดที่มาของข้อมูล,"ใช้วันที่ตีพิมพ์ของคู่มือ, เอกสาร"
การยื่นฟ้องคดีปกครอง,เขตอำนาจในการยื่นฟ้องคดีปกครอง,"ให้ยื่นฟ้องต่อศาลปกครองชั้นต้นที่ผู้ฟ้องคดีมีภูมิลำเนาหรือ
ที่มูลคดีเกิดขึ้นในเขตศาลปกครองชั้นต้น","ยื่นฟ้องคดีปกครองได้ที่ไหน; 
ฟ้องคดีได้ที่ใดบ้าง;
",Excell,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองกลาง,"ศาลปกครองกลาง มีเขตอำนาจครอบคลุมพื้นที่กรุงเทพมหานคร จังหวัดนครปฐม จังหวัดนนทบุรี จังหวัดปทุมธานี จังหวัดสมุทรปราการ และจังหวัดสมุทรสาคร รวมทั้งจังหวัดที่มิได้อยู่ในเขตอำนาจของศาลปกครองในภูมิภาค คือ จังหวัดนครนายก และจังหวัดสระบุรี  
ที่อยู่ : เลขที่ 120 หมู่ที่ 3 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210","ศาลปกครองกลางมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองกลางตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองกลางได้ไหม;",คู่มือการใช้งาน,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองเชียงใหม่,"ศาลปกครองเชียงใหม่ มีเขตอำนาจตลอดท้องที่จังหวัดเชียงใหม่ จังหวัดเชียงราย จังหวัดแม่ฮ่องสอน จังหวัดลำปาง จังหวัดลำพูน และมีเขตอำนาจเพิ่มเติมในจังหวัดน่าน จังหวัดพะเยา จังหวัดแพร่  
ที่อยู่ : เลขที่ 333 ถนนโชตนา ตำบลช้างเผือก (ในบริเวณศูนย์ราชการจังหวัดเชียงใหม่) อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50300","ศาลปกครองเชียงใหม่มีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองเชียงใหม่ตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองเชียงใหม่ได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองสงขลา,"ศาลปกครองสงขลา มีเขตอำนาจตลอดท้องที่จังหวัดสงขลา จังหวัดตรัง จังหวัดพัทลุง จังหวัดสตูล
ที่อยู่ : เลขที่ 1111 หมู่ 2 ถนนสงขลา-เกาะยอ ตำบลพะวง อำเภอเมืองสงขลา จังหวัดสงขลา 90100","ศาลปกครองสงขลามีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองสงขลาตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองสงขลาได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองนครราชสีมา,"ศาลปกครองนครราชสีมา มีเขตอำนาจตลอดท้องที่จังหวัดนครราชสีมา จังหวัดชัยภูมิ และมีเขตอำนาจเพิ่มเติมในจังหวัดบุรีรัมย์ และจังหวัดสุรินทร์
ที่อยู่ : เลขที่ 345 หมู่ 6 ถนนมิตรภาพ (เลี่ยงเมือง) ตำบลหนองกระทุ่ม อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000","ศาลปกครองนครราชสีมามีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองนครราชสีมาตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองนครราชสีมาได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองขอนแก่น,"ศาลปกครองขอนแก่น มีเขตอำนาจตลอดท้องที่จังหวัดขอนแก่น จังหวัดกาฬสินธุ์ จังหวัดมหาสารคาม และมีเขตอำนาจเพิ่มเติม
ในจังหวัดมุกดาหาร
ที่อยู่ : ตั้งอยู่เลขที่ 333 หมู่ที่ 2 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000","ศาลปกครองขอนแก่นมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองขอนแก่นตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองขอนแก่นได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองพิษณุโลก,"ศาลปกครองพิษณุโลก มีเขตอำนาจตลอดท้องที่จังหวัดพิษณุโลก จังหวัดกำแพงเพชร จังหวัดตาก จังหวัดพิจิตร จังหวัดสุโขทัย และมีเขตอำนาจเพิ่มเติมในจังหวัดอุตรดิตถ์
ตั้งอยู่เลขที่  111 หมู่ที่ 8 ถนนพิษณุโลก-นครสวรรค์ ตำบลท่าทอง อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000","ศาลปกครองพิษณุโลกมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองพิษณุโลกตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองพิษณุโลกได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองระยอง,"ศาลปกครองระยองมีเขตอำนาจตลอดท้องที่จังหวัดระยอง จังหวัดจันทบุรี จังหวัดฉะเชิงเทรา จังหวัดชลบุรี จังหวัดตราด จังหวัดปราจีนบุรี และจังหวัดสระแก้ว
ที่อยู่ : เลขที่ 777 ถนนสุขุมวิท ตำบลเนินพระ อำเภอเมืองระยอง จังหวัดระยอง 21150","ศาลปกครองระยองมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองระยองตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองระยองได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองนครศรีธรรมราช,"ศาลปกครองนครศรีธรรมราชมีเขตอำนาจตลอดท้องที่จังหวัดนครศรีธรรมราช จังหวัดสุราษฎร์ธานี และมีเขตอำนาจเพิ่มเติมในจังหวัดชุมพร  
ที่อยู่ : อาคาร ซี.พี.ทาวเวอร์ นครศรีธรรมราช เลขที่ 345 
ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช 
จังหวัดนครศรีธรรมราช 80000","ศาลปกครองนครศรีธรรมราชมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองนครศรีธรรมราชตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองนครศรีธรรมราชได้ไหม;",,
