หมวดหมู่,ประเด็น,ข้อมูลอ้างอิง,คำถาม,แหล่งที่มาข้อมูล,วันที่อัปเดทข้อมูลล่าสุด
หมวดหมู่หลัก,ประเด็นเป็นส่วนย่อยของหมวดหมู่หลัก,ใช้ข้อมูลอ้างอิงที่สามารถตอบคำถามในหมวดหมู่และประเด็นที่ตั้งไว้ได้ครอบคลุม,หากมีตัวอย่างคำถามมากว่า 1 ข้อ ให้ขึ้นบรรทัดใหม่พร้อมใส่ ; (semi-colon) ด้านหลัง,ใส่ตามรายละเอียดที่มาของข้อมูล,"ใช้วันที่ตีพิมพ์ของคู่มือ, เอกสาร"
การใช้งานบนแอปพลิเคชัน Admincourt,วิธีการขอคัดคดีปกครอง,"การขอขอคัดคดีปกครอง สามารถทำได้ผ่านแอปพลิเคชัน Admincourt ดังนี้
1. ไปที่ ""ค้นหาคำพิพากษา/คำสั่ง""
2. กรอกข้อมูลที่เกี่ยวข้องให้ครบถ้วน ประกอบด้วย ข้อมูลศาล, แผนกคดี, ประเภทการฟ้อง, คดีหมายเลขดำ, คดีหมายเลขแดง, ชื่อผู้ฟ้อง, ชื่อผู้ถูกฟ้อง และข้อมูลอื่น ๆ
3. กด ""ค้นหา""
4. ข้อมูลคดีตามการกรอกข้อมูลที่เกี่ยวข้องจะขึ้นแสดงให้ผู้ใช้งานเลือกเพื่อขอคัดคดี กดเลือก ""ขอคัดคำพิพากษา/คำสั่ง""
รอการจัดส่งเอกสารผ่านอีเมลของผู้ใช้งาน เท่านี้ผู้ใช้ก็จะสามารถได้รับเอกสารคัดคดีปกครองได้เรียบร้อย",จะขอตัวอย่างคดีได้อย่างไร;,คู่มือการใช้งาน,2022-12-01 00:00:00
การใช้งานบนแอปพลิเคชัน Admincourt,การสมัครสมาชิกใช้งานแอปพลิเคชัน ,"การสมัครสมาชิกใช้งานแอปพลิเคชัน จำเป็นต้องกรอกข้อมูลที่มี * กำกับให้ครบถ้วน
1. กรอกรายละเอียดอีเมล*
2. กรอกรหัสผ่าน (ความยาว 8-32 ตัวอักษร)*
3. ยืนยันรหัสผ่าน (ความยาว 8-32 ตัวอักษร)*
4. ชื่อ*
5. นามสกุล*
6. อาชีพ
7. สถานที่ทำงาน
8. หมายเลขบัตรประชาชน*
9. บ้านเลขที่*
10. หมู่ที่ 11. ตรอก/ซอย 12. ถนน 
13. แขวง/ตำบล*
14. เขต/อำเภอ*
15. รหัสไปรษณีย์*
หลังจากกรอกรายละเอียดครบถ้วนทุกช่องแล้ว กดปุ่มสมัครสมาชิก ระบบจะส่งเมลให้กับผู้ใช้งาน เพื่อให้ยืนยันตัวตนภายใน 3 ชม. เมื่อยืนยันตัวตนเรียบร้อยแล้ว จะสามารถเข้าใช้งานแอปพลิเคชันได้ทันที ",สมัครใช้งานแอปพลิเคชันทำอย่างไร;ลงทะเบียนใช้งานแอปทำอย่างไร;สมัครใช้งานแอปไม่ได้,คู่มือการใช้งาน,
การใช้งานบนแอปพลิเคชัน Admincourt,การสมัครสมาชิกใช้งานแอปพลิเคชัน ,"ตรวจสอบรายละเอียด ดังนี้ 
1. ผู้ใช้งานลงทะเบียนและได้มีการการยืนยันตัวตนภายใน 3 ชม หรือไม่
2. หากเกินเวลาที่กำหนด ผู้ใช้งานจะต้องลงสมัครสมาชิกเข้ามาใหม่ ",ตรวจสอบสถานะการลงทะเบียนว่าสำเร็จหรือไม่; สมัครสมาชิกสำเร็จมั้ย,,
การใช้งานบนแอปพลิเคชัน Admincourt,"การล็อกอินเข้าสู่ระบบ
","เจ้าหน้าที่จะดำเนินการตรวจสอบข้อมูลเบื้องต้น ดังนี้
1. ผู้ใช้งานมีการยืนยันตัวตนอีเมลภายใน 3 ชม แล้วหรือไม่
2. อีเมลและรหัสผ่านถูกต้องหรือไม่
3. หากดำเนินการในข้อ 1-2 เรียบร้อยแล้ว จะแนะนำให้ทำขั้นตอนที่ 4-7
การล็อกอินเข้าสู่ระบบ
4. เลือกเมนูอื่น ๆ 
5. เลือกเข้าสู่ระบบ
6. กรอกข้อมูลอีเมลหรือเลขบัตรประชาชน
7. กรอกรหัสผ่าน 
หลังจากกรอกข้อมูลครบถ้วนและถูกต้อง ผู้ใช้งานสามารถเข้าใช้งานระบบได้ ",ลงทะเบียนแล้วเข้าใช้งานระบบไม่ได้;จำอีเมลที่สมัครสมาชิกในระบบไม่ได้;จำอีเมลได้แต่จำรหัสเข้าระบบไม่ได้,คู่มือการใช้งาน,
การใช้งานบนแอปพลิเคชัน Admincourt,รหัสผ่าน (password),"การรีเซตรหัสผ่านใหม่ มีขั้นตอน ดังนี้
1. เลือกเมนู ลืมรหัสผ่าน
2. ทำตามขั้นตอนที่ 1-6 ได้แก่  
    1) กรอกอีเมลหรือเลขบัตรประชาชน
    2) ขอรหัสลับ 
    3) กรอกรหัสลับ
    4) กรอกรหัสผ่านใหม่
    5) ยืนยันรหัสผ่านใหม่
    6) ยืนยัน
หลังจากกดยืนยันระบบจะแสดงข้อความเปลี่ยนรหัสผ่านเรียบร้อยแล้ว สามารถเข้าใช้งานด้วยรหัสผ่านใหม่ได้ทันที",ลืมรหัสผ่านเข้าใช้ระบบทำอย่างไร;จำรหัสไม่ได้,คู่มือการใช้งาน,
การใช้งานบนแอปพลิเคชัน Admincourt,อีเมล,"วิธีการเปลี่ยนอีเมล
1. ผู้ใช้งานแจ้งรายละเอียดกับเจ้าหน้าที่ ดังนี้ 
  1) ชื่อ-นามสกุล
  2) หมายเลขบัตรประชาชน
  3) อีเมลเดิม
  4) อีเมลใหม่ที่ต้องการเปลี่ยน 
กรณีที่จำอีเมลเดิมที่สมัครสมาชิกไม่ได้ ให้แจ้งข้อมูลหมายเลข 1,2 และ 4 
เจ้าหน้าที่จะทำการเปลี่ยนอีเมลในระบบให้กับผู้ใช้งาน และแจ้งไปยังผู้ใช้งานให้ล็อกอินเข้าสู่ระบบด้วยอีเมลใหม่",จำอีเมลไม่ได้ทำอย่างไร; ต้องการเปลี่ยนอีเมลใหม่ เนื่องจากจำอีเมลไม่ได้;จำอีเมลไม่ได้ แต่จำรหัสผ่านเข้าอีเมลไม่ได้ จึงขอเปลี่ยนอีเมลใหม่ ,,
แอปพลิเคชัน ,ไฟล์คำพิพากษา/คำสั่ง,"ระบบตรวจสอบรายละเอียด ดังนี้
1. ประสานเจ้าหน้าที่ที่เกี่ยวข้องกับคดีนั้น ๆ เพื่อตรวจสอบว่าได้มีการนำข้อมูลเข้าในระบบแล้วหรือไม่
2. กรณีที่มีการนำเข้าข้อมูลในระบบแล้ว ต้องตรวจสอบว่าเจ้าหน้าที่ลงข้อมูลวันอ่านคำพิพากษา/คำสั่งแล้วหรือไม่
3. กรณีที่จัดทำข้อ 1-2 เรียบร้อยแล้ว ระบบจะทำการดึงข้อมูลคำพิพากษา/คำสั่งไปแสดงบนแอปพลิเคชันศาลปกครองทันที โดยการดึงข้อมูลจะทำทุก ๆ 2 ชั่วโมง ",ค้นหาคำพิพากษา/คำสั่งทีต้องการไม่เจอในระบบฯ,,
แอปพลิเคชัน ,ไฟล์คำพิพากษา/คำสั่ง,"ระบบตรวจสอบรายละเอียด ดังนี้
1. ประสานเจ้าหน้าที่ที่เกี่ยวข้องกับคดีนั้น ๆ เพื่อตรวจสอบว่าได้มีการนำข้อมูลเข้าในระบบแล้วหรือไม่
2. กรณีที่มีการนำเข้าข้อมูลในระบบแล้ว ต้องตรวจสอบว่าเจ้าหน้าที่ลงข้อมูลวันอ่านคำพิพากษา/คำสั่งแล้วหรือไม่
3. กรณีที่จัดทำข้อ 1-2 เรียบร้อยแล้ว เจ้าหน้าที่จะตรวจสอบว่าคดีนั้น ๆ มีการอ่านคำพิพากษา/คำสั่งหลายครั้งหรือไม่ (มีคำพิพากษา/คำสั่งมากกว่า 1ไฟล์)  ต้องตรวจสอบว่าผู้ใช้งานต้องการคำพิพากษา/คำสั่งครั้งที่เท่าไหร่ 
4. เจ้าหน้าที่จะสลับวันที่ของไฟล์คำพิพากษา/คำสั่งที่ผู้ใช้ต้องการให้เป็นวันที่ปัจจุบัน เนื่องจากระบบจะดึงไฟล์ที่มีการอัพเดตล่าสุดส่งให้กับผู้ใช้งาน ","ไฟล์คำพิพากษา/คำสั่งที่ได้รับทางอีเมล
ไม่ตรงกับคดีที่ต้องการ",,
แอปพลิเคชัน ,เครื่องแม่ข่าย ,"ตรวจสอบรายละเอียดการทำงานของเครื่องแม่ข่าย ดังนี้
1. script การดึงข้อมูลจากเว็บไซต์ศาลปกครอมายังแอปพลิเคชันศาลปกครองมีปัญหาหรือไม่",ตรวจสอบไม่พบคดีในเว็บไซต์ศาล;เปิดดูไฟล์เอกสาร PDF บนแอปไม่ได้ เป็นเฉพาะบางเอกสาร,,
แอปพลิเคชัน ,เครื่องแม่ข่าย ,"1. ตรวจสอบการทำงานของ Mail Server ของศาลฯ
2. แนะนำให้ user ตรวจสอบ junk mail และ promotion (กรณีใช้ gmail)",ไม่ได้รับอีเมล,,
