Question,Answer,Full_Text
การยื่นฟ้องคดีที่อยู่ในเขตอำนาจของ ศาลปกครองชั้นต้น,ให้ยื่นฟ้องต่อศาลปกครองชั้นต้นที่ผู้ฟ้องคดีมีภูมิลำเนาหรือ ที่มูลคดีเกิดขึ้นในเขตศาลปกครองชั้นต้น,"คำถาม: การยื่นฟ้องคดีที่อยู่ในเขตอำนาจของ ศาลปกครองชั้นต้น
คำตอบ: ให้ยื่นฟ้องต่อศาลปกครองชั้นต้นที่ผู้ฟ้องคดีมีภูมิลำเนาหรือ ที่มูลคดีเกิดขึ้นในเขตศาลปกครองชั้นต้น"
เขตอำนาจศาลปกครองกลาง,ศาลปกครองกลาง มีเขตอำนาจครอบคลุมพื้นที่กรุงเทพมหานคร จังหวัดนครปฐม จังหวัดนนทบุรี จังหวัดปทุมธานี จังหวัดสมุทรปราการ และจังหวัดสมุทรสาคร รวมทั้งจังหวัดที่มิได้อยู่ในเขตอำนาจของศาลปกครองในภูมิภาค คือ จังหวัดนครนายก และจังหวัดสระบุรี   ที่อยู่ : เลขที่ 120 หมู่ที่ 3 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210,"คำถาม: เขตอำนาจศาลปกครองกลาง
คำตอบ: ศาลปกครองกลาง มีเขตอำนาจครอบคลุมพื้นที่กรุงเทพมหานคร จังหวัดนครปฐม จังหวัดนนทบุรี จังหวัดปทุมธานี จังหวัดสมุทรปราการ และจังหวัดสมุทรสาคร รวมทั้งจังหวัดที่มิได้อยู่ในเขตอำนาจของศาลปกครองในภูมิภาค คือ จังหวัดนครนายก และจังหวัดสระบุรี   ที่อยู่ : เลขที่ 120 หมู่ที่ 3 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210"
เขตอำนาจศาลปกครองเชียงใหม่,ศาลปกครองเชียงใหม่ มีเขตอำนาจตลอดท้องที่จังหวัดเชียงใหม่ จังหวัดเชียงราย จังหวัดแม่ฮ่องสอน จังหวัดลำปาง จังหวัดลำพูน และมีเขตอำนาจเพิ่มเติมในจังหวัดน่าน จังหวัดพะเยา จังหวัดแพร่   ที่อยู่ : เลขที่ 333 ถนนโชตนา ตำบลช้างเผือก (ในบริเวณศูนย์ราชการจังหวัดเชียงใหม่) อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50300,"คำถาม: เขตอำนาจศาลปกครองเชียงใหม่
คำตอบ: ศาลปกครองเชียงใหม่ มีเขตอำนาจตลอดท้องที่จังหวัดเชียงใหม่ จังหวัดเชียงราย จังหวัดแม่ฮ่องสอน จังหวัดลำปาง จังหวัดลำพูน และมีเขตอำนาจเพิ่มเติมในจังหวัดน่าน จังหวัดพะเยา จังหวัดแพร่   ที่อยู่ : เลขที่ 333 ถนนโชตนา ตำบลช้างเผือก (ในบริเวณศูนย์ราชการจังหวัดเชียงใหม่) อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50300"
เขตอำนาจศาลปกครองสงขลา,ศาลปกครองสงขลา มีเขตอำนาจตลอดท้องที่จังหวัดสงขลา จังหวัดตรัง จังหวัดพัทลุง จังหวัดสตูล ที่อยู่ : เลขที่ 1111 หมู่ 2 ถนนสงขลา-เกาะยอ ตำบลพะวง อำเภอเมืองสงขลา จังหวัดสงขลา 90100,"คำถาม: เขตอำนาจศาลปกครองสงขลา
คำตอบ: ศาลปกครองสงขลา มีเขตอำนาจตลอดท้องที่จังหวัดสงขลา จังหวัดตรัง จังหวัดพัทลุง จังหวัดสตูล ที่อยู่ : เลขที่ 1111 หมู่ 2 ถนนสงขลา-เกาะยอ ตำบลพะวง อำเภอเมืองสงขลา จังหวัดสงขลา 90100"
เขตอำนาจศาลปกครองนครราชสีมา,ศาลปกครองนครราชสีมา มีเขตอำนาจตลอดท้องที่จังหวัดนครราชสีมา จังหวัดชัยภูมิ และมีเขตอำนาจเพิ่มเติมในจังหวัดบุรีรัมย์ และจังหวัดสุรินทร์ ที่อยู่ : เลขที่ 345 หมู่ 6 ถนนมิตรภาพ (เลี่ยงเมือง) ตำบลหนองกระทุ่ม อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,"คำถาม: เขตอำนาจศาลปกครองนครราชสีมา
คำตอบ: ศาลปกครองนครราชสีมา มีเขตอำนาจตลอดท้องที่จังหวัดนครราชสีมา จังหวัดชัยภูมิ และมีเขตอำนาจเพิ่มเติมในจังหวัดบุรีรัมย์ และจังหวัดสุรินทร์ ที่อยู่ : เลขที่ 345 หมู่ 6 ถนนมิตรภาพ (เลี่ยงเมือง) ตำบลหนองกระทุ่ม อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000"
เขตอำนาจศาลปกครองขอนแก่น,ศาลปกครองขอนแก่น มีเขตอำนาจตลอดท้องที่จังหวัดขอนแก่น จังหวัดกาฬสินธุ์ จังหวัดมหาสารคาม และมีเขตอำนาจเพิ่มเติม ในจังหวัดมุกดาหาร ที่อยู่ : ตั้งอยู่เลขที่ 333 หมู่ที่ 2 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,"คำถาม: เขตอำนาจศาลปกครองขอนแก่น
คำตอบ: ศาลปกครองขอนแก่น มีเขตอำนาจตลอดท้องที่จังหวัดขอนแก่น จังหวัดกาฬสินธุ์ จังหวัดมหาสารคาม และมีเขตอำนาจเพิ่มเติม ในจังหวัดมุกดาหาร ที่อยู่ : ตั้งอยู่เลขที่ 333 หมู่ที่ 2 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000"
เขตอำนาจศาลปกครองพิษณุโลก,ศาลปกครองพิษณุโลก มีเขตอำนาจตลอดท้องที่จังหวัดพิษณุโลก จังหวัดกำแพงเพชร จังหวัดตาก จังหวัดพิจิตร จังหวัดสุโขทัย และมีเขตอำนาจเพิ่มเติมในจังหวัดอุตรดิตถ์ ตั้งอยู่เลขที่  111 หมู่ที่ 8 ถนนพิษณุโลก-นครสวรรค์ ตำบลท่าทอง อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000,"คำถาม: เขตอำนาจศาลปกครองพิษณุโลก
คำตอบ: ศาลปกครองพิษณุโลก มีเขตอำนาจตลอดท้องที่จังหวัดพิษณุโลก จังหวัดกำแพงเพชร จังหวัดตาก จังหวัดพิจิตร จังหวัดสุโขทัย และมีเขตอำนาจเพิ่มเติมในจังหวัดอุตรดิตถ์ ตั้งอยู่เลขที่  111 หมู่ที่ 8 ถนนพิษณุโลก-นครสวรรค์ ตำบลท่าทอง อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000"
เขตอำนาจศาลปกครองระยอง,ศาลปกครองระยองมีเขตอำนาจตลอดท้องที่จังหวัดระยอง จังหวัดจันทบุรี จังหวัดฉะเชิงเทรา จังหวัดชลบุรี จังหวัดตราด จังหวัดปราจีนบุรี และจังหวัดสระแก้ว ที่อยู่ : เลขที่ 777 ถนนสุขุมวิท ตำบลเนินพระ อำเภอเมืองระยอง จังหวัดระยอง 21150,"คำถาม: เขตอำนาจศาลปกครองระยอง
คำตอบ: ศาลปกครองระยองมีเขตอำนาจตลอดท้องที่จังหวัดระยอง จังหวัดจันทบุรี จังหวัดฉะเชิงเทรา จังหวัดชลบุรี จังหวัดตราด จังหวัดปราจีนบุรี และจังหวัดสระแก้ว ที่อยู่ : เลขที่ 777 ถนนสุขุมวิท ตำบลเนินพระ อำเภอเมืองระยอง จังหวัดระยอง 21150"
เขตอำนาจศาลปกครองนครศรีธรรมราช,ศาลปกครองนครศรีธรรมราชมีเขตอำนาจตลอดท้องที่จังหวัดนครศรีธรรมราช จังหวัดสุราษฎร์ธานี และมีเขตอำนาจเพิ่มเติมในจังหวัดชุมพร   ที่อยู่ : อาคาร ซี.พี.ทาวเวอร์ นครศรีธรรมราช เลขที่ 345  ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช  จังหวัดนครศรีธรรมราช 80000,"คำถาม: เขตอำนาจศาลปกครองนครศรีธรรมราช
คำตอบ: ศาลปกครองนครศรีธรรมราชมีเขตอำนาจตลอดท้องที่จังหวัดนครศรีธรรมราช จังหวัดสุราษฎร์ธานี และมีเขตอำนาจเพิ่มเติมในจังหวัดชุมพร   ที่อยู่ : อาคาร ซี.พี.ทาวเวอร์ นครศรีธรรมราช เลขที่ 345  ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช  จังหวัดนครศรีธรรมราช 80000"
เขตอำนาจศาลปกครองอุดรธานี,ศาลปกครองอุดรธานีมีเขตอำนาจตลอดท้องที่จังหวัดอุดรธานี จังหวัดเลย จังหวัดหนองคาย จังหวัดหนองบัวลำภู และมีเขตอำนาจเพิ่มเติมในจังหวัดนครพนม จังหวัดบึงกาฬ และจังหวัดสกลนคร ที่อยู่ : เลขที่ 999 หมู่ที่ 7 ตำบลบ้านขาว อำเภอเมือง จังหวัดอุดรธานี 41000,"คำถาม: เขตอำนาจศาลปกครองอุดรธานี
คำตอบ: ศาลปกครองอุดรธานีมีเขตอำนาจตลอดท้องที่จังหวัดอุดรธานี จังหวัดเลย จังหวัดหนองคาย จังหวัดหนองบัวลำภู และมีเขตอำนาจเพิ่มเติมในจังหวัดนครพนม จังหวัดบึงกาฬ และจังหวัดสกลนคร ที่อยู่ : เลขที่ 999 หมู่ที่ 7 ตำบลบ้านขาว อำเภอเมือง จังหวัดอุดรธานี 41000"
