วันและเวลา ที่ให้คำปรึกษาแนะนำ,วิธีขอรับคำปรึกษา,สถานะของผู้ขอคำปรึกษา,อาชีพ,ภูมิลำเนา (จังหวัดอื่นโปรดระบุช่องอื่นๆ),ประเภทของคดีที่ให้คำปรึกษา,คดีตามมาตรา,ประเด็นที่ขอคำปรึกษา (เลือกได้หลายช่อง),ข้อเท็จจริง/ประเด็นที่ขอคำปรึกษาแนะนำ ,ผลการให้คำปรึกษาแนะนำ
2025-01-01 09:24:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง,     ผู้ขอคำปรึกษาพบเห็นพระสงฆ์บุกรุกป่า จึงได้มีหนังสือร้องเรียนถึงกรมทรัพยากรและสิ่งแวดล้อม บัดนี้ระยะเวลาผ่านไป 90 วันแล้วแต่ยังไม่ดำเนินการไล่ออกจากป่า,    แนะนำว่า หากท่านเห็นว่าอำนาจในการดูแลป่าไม้เป็นหน้าที่ของกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม แต่ละเลยเพิกเฉย จึงเป็นคดีพิพาทเกี่ยวกับการละเลยหน้าที่ตามที่กกหมายกำหนดให้ต้องปฎิบัติตามมาตรา ๙ วรรคหนึ่ง (๒) แห่ง พ.ร.บ. จัดตั้งศาลปกครองฯ คำขอให้ปฏิบัติหน้าที่ ศาลปกครองมีอำนาจกำหนดคำบังคับได้ จึงแนะนำให้ฟ้องต่อศาลปกครอง
2025-01-02 09:50:00,โทรศัพท์สายด่วน 1355,ผู้ถูกฟ้องคดี,ข้าราชการ/ลูกจ้าง ในหน่วยงานของรัฐ,กรุงเทพมหานคร,,,กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง,ขอสอบถามว่าจะขอขยายเวลายื่นคำให้การอีกครั้งเป็นครั้งที่ 3 ได้หรือไม่,"   แนะนำว่าระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุดว่าด้วยวิธีพิจารณาคดีปกครอง 
พ.ศ. ๒๕๔๓ ข้อ ๖	ระยะเวลาตามที่กำหนดไว้ในระเบียบนี้หรือตามที่ศาลกำหนด เมื่อศาลเห็นสมควรหรือเมื่อคู่กรณีมีคำขอ ศาลมีอำนาจย่นหรือขยายได้ตามความจำเป็นเพื่อประโยชน์แห่งความยุติธรรม
    ดังนั้น ให้ท่านแสดงเหตุจำเป็นที่ไม่อาจทำคำให้การได้ภายในกำหนดระยะเวลที่ศาลอนุญาตให้มาแล้วถึงสองครั้ง ต่อศาล ซึ่งศาลจะพิจารณาว่าจะอนุญาตให้ขยายหรือไม่ อย่างไร"
2025-01-02 10:58:00,โทรศัพท์สายด่วน 1355,ไม่ระบุ,ไม่ระบุ,จังหวัดมหาสารคาม,,,เป็นคดีที่อยู่ในอำนาจของศาลปกครองหรือไม่,   ที่ดินถูกเวณคืน แต่ได้รับค่าทดแทนไม่เป็นธรรม ได้อุทธรณ์ แล้ว แต่ยังไม่พอใจ เห็นว่าน้อยกว่าราคาตลาด จึงมาปรึกษาจะฟ้องต่อศาลปกครองได้หรือไม่,"   แนะนำว่า พระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒ 
มาตรา ๙  ศาลปกครองมีอำนาจพิจารณาพิพากษาหรือมีคำสั่งในเรื่องดังต่อไปนี้
(๓)	คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่นของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐอันเกิดจากการใช้อำนาจตามกฎหมาย หรือจากกฎ คำสั่งทางปกครอง หรือคำสั่งอื่น 
หรือจากการละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติหรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร 	
    ดังนั้น  กรณีไม่ได้รับความเป็นธรรมจากการกำหนดราคาที่ดินที่ถูกเวนคืนและท่านได้อุทธรณ์และทราบผลแล้ว ท่านฟ้องคดีต่อศาลปกครองได้ภายใน 1 ปีนับแต่วันรับแจ้งอุทธรณ์ "
2025-01-02 09:35:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,มาตรา 9 วรรค 1 (1) คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ กระทำการโดยไม่ชอบด้วยกฎหมาย,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง",ผู้ขอคำปรึกษาสอบถามว่า กรณีประสงค์จะขอให้ศาลลงตรวจสอบพื้นที่ที่พิพาท จะต้องดำเนินการอย่างไร,ได้ให้คำแนะนำว่า กรณีที่ผู้ขอคำปรึกษามีความประสงค์จะขอให้ศาลลงตรวจสอบพื้นที่ีที่พิพาท ให้จัดทำเป็นคำขอยื่นต่อศาล พร้อมแสดงเหตุผลความจำเป็นที่จะขอให้ศาลลงตรวจสอบพื้นที่พิพาท โดยใช้แบบฟอร์มคำร้อง/คำขอ ทั่วไป (ค.2) ซึ่งศาลหรือบุคคลที่ได้รับมอบหมายจากศาลมีอำนาจไปตรวจสอบสถานที่ บุคคล หรือสิ่งอื่นใดเพื่อประกอบการพิจารณาได้ โดยศาลจะแจ้งวัน เวลา และสถานที่ที่จะไปตรวจสอบให้คู่กรณีทราบล่วงหน้าเพื่อเปิดโอกาสให้คู่กรณีคัดค้านหรือชี้แจงข้อเท็จจริงได้ ทั้งนี้ คู่กรณีจะไปร่วมในการตรวจสอบดังกล่าวหรือไม่ก็ได้ ตามข้อ 56 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543
2025-01-02 13:30:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,การพัสดุและสัญญาของฝ่ายปกครอง,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง, การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด",ได้รับหนังสือแจ้งคำสั่งศาล ลงวันที่ 23 ธันวาคม 2567 โดยศาลมีคำสั่งยกคำขอยกเว้นค่าธรรมเนียมศาลของผู้ฟ้องคดี จะต้องดำเนินการอย่างไร,ได้ให้คำแนะนำว่า กรณีที่ศาลมีคำสั่งให้ยกคำขอการยกเว้นค่าธรรมเนียมศาล ผู้ยื่นคำขอมีสิทธิดำเนินการอย่างใดอย่างหนึ่งดังต่อไปนี้ (1) ยื่นคำร้องขอให้พิจารณาคำขอนั้นใหม่ เพื่ออนุญาตให้นำพยานหลักฐานมาแสดงเพิ่มเติมว่าไม่มีทรัพย์สินเพียงพอที่จะเสียค่าธรรมเนียมศาล หรือโดยสถานะของผู้ขอ ถ้าไม่ได้รับยกเว้นค่าธรรมเนียมศาลจะได้รับความเดือดร้อนเกินสมควร หรือ (2) อุทธรณ์คำสั่งนั้นต่อศาลปกครองสูงสุด โดยยื่นคำร้องอุทธรณ์คำสั่งต่อศาลปกครองชั้นต้นที่มีคำสั่งนั้น ในกรณีที่คู่กรณีใช้สิทธิตาม (1) หรือ (2) อย่างใดอย่างหนึ่งแล้ว จะใช้สิทธิอีกประการหนึ่งมิได้ ทั้งนี้ การยื่นคำร้องขอตาม (1) หรือยื่นอุทธรณ์ตาม (2) ให้ยื่นต่อศาลปกครองกลางภายในสิบห้าวันนับแต่วันที่ได้รับแจ้งคำสั่งศาล โดยจะไปยื่นที่ศาลหรือส่งทางไปรษณีย์ลงทะเบียนก็ได้ ตามข้อ 41/4 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543
2025-01-02 15:05:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,อื่นๆ,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ผู้ขอคำปรึกษาสอบถามว่า กรณีที่ผู้ถูกฟ้องคดีจัดทำคำให้การเพิ่มเติมยื่นต่อศาล และศาลได้ส่งสำเนาให้ผู้ฟ้องคดีทราบแล้ว หากผู้ฟ้องคดีประสงค์จะทำคำแถลงต่อศาล สามารถทำได้เลยหรือไม่ หรือจะต้องรอให้ศาลมีคำสั่งให้ทำคำแถลงก่อน,ได้ให้คำแนะนำว่า กรณีที่ผู้ฟ้องคดีประสงค์จะทำคำแถลงต่อศาล สามารถจัดทำคำแถลงยื่นต่อศาลได้ก่อนวันสิ้นสุดการแสวงหาข้อเท็จจริง ซึ่งบรรดาคำฟ้องเพิ่มเติม คำให้การ คำคัดค้านคำให้การ คำให้การเพิ่มเติม รวมทั้งพยานหลักฐานอื่น ๆ ที่ยื่นต่อศาลหลังวันสิ้นสุดการแสวงหาข้อเท็จจริง ศาลจะไม่รับไว้เป็นส่วนหนึ่งของสำนวนคดี ตามข้อ 62 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 
2025-01-03 08:45:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,อื่นๆ,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด",ผู้ขอคำปรึกษาสอบถามว่า การอุทธรณ์คำพิพากษาของศาลปกครองชั้นต้นมีระยะเวลาเท่าใด สามารถขอขยายได้หรือไม่ และมีแบบฟอร์มคำอุทธรณ์หรือไม่,"ได้ให้คำแนะนำว่า กรณีที่ผู้ขอคำปรึกษามีความประสงค์จะคัดค้านคำพิพากษาของศาลปกครองชั้นต้น ให้ยื่นอุทธรณ์ต่อศาลปกครองชั้นต้นที่มีคำพิพากษาภายในกำหนดสามสิบวันนับแต่วันที่ได้มีคำพิพากษา ถ้ามิได้ยื่นอุทธรณ์ตามกำหนดเวลาดังกล่าวให้ถือว่าคดีนั้นเป็นอันถึงที่สุด ตามมาตรา 73 วรรคหนึ่ง แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 ทั้งนี้ ระยะเวลาดังกล่าวเป็นระยะเวลาที่กำหนดไว้ในพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 ซึ่งไม่อาจขอขยายระยะเวลาได้ และผู้ขอคำปรึกษาสามารถดาวน์โหลดแบบฟอร์มคำอุทธรณ์ได้จากเว็บไซต์ของศาลปกครอง โดยคำอุทธรณ์ให้ทำเป็นหนังสือและต้องระบุ (1) ชื่อผู้อุทธรณ์และคู่กรณีในอุทธรณ์ (2) ข้อคัดค้านคำพิพากษาหรือคำสั่งของศาลปกครองชั้นต้น (3) คำขอของผู้อุทธรณ์ (4) ลายมือชื่อผู้อุทธรณ์
ซึ่งข้อเท็จจริงหรือข้อกฎหมายที่จะยกขึ้นอ้างในการยื่นคำอุทธรณ์นั้นจะต้องกล่าวไว้โดยชัดแจ้งในคำอุทธรณ์ และต้องเป็นข้อที่ได้ยกขึ้นว่ากันมาแล้วโดยชอบในศาลปกครองชั้นต้น ตามข้อ 101 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543"
2025-01-03 09:42:00,โทรศัพท์สายด่วน 1355,ผู้ถูกฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,การพัสดุและสัญญาของฝ่ายปกครอง,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ได้รับคำสั่งเรียกให้ทำคำให้การของศาลปกครองกลาง ฉบับลงวันที่ 6 ธันวาคม 2567โดยศาลให้ทำคำให้การแก้คำฟ้องพร้อมพยานหลักฐาน จำนวน 2 ชุด ต่อศาลภายใน 30 วัน นับแต่วันที่ได้รับคำสั่ง จะต้องดำเนินการอย่างไรบ้าง,"ได้ให้คำแนะนำว่า เมื่อผู้ถูกฟ้องคดีได้รับคำสั่งให้ทำคำให้การ ให้ผู้ถูกฟ้องคดียื่นคำให้การโดยชัดแจ้งแสดงการปฏิเสธหรือยอมรับข้อหาที่ปรากฏในคำฟ้องและคำขอท้ายฟ้อง และเหตุแห่งการนั้น พร้อมส่งพยานหลักฐานตามจำนวนและภายในระยะเวลาที่ศาลกำหนด ซึ่งผู้ถูกฟ้องคดีจะฟ้องแย้งมาในคำให้การก็ได้ ในกรณีที่ผู้ถูกฟ้องคดีมิได้จัดทำคำให้การพร้อมทั้งพยานหลักฐานยื่นต่อศาลภายในระยะเวลาที่กำหนด ให้ถือว่าผู้ถูกฟ้องคดียอมรับข้อเท็จจริงตามข้อหาของผู้ฟ้องคดี และให้ศาลพิจารณาพิพากษาต่อไปตามที่เห็นเป็นการยุติธรรม ตามข้อ 43 ข้อ 44 ประกอบข้อ 46 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 
ทั้งนี้ หากผู้ถูกฟ้องคดีไม่สามารถยื่นคำให้การได้ทันตามระยะเวลาที่ศาลกำหนด ให้ยื่นขอขยายระเวลาการทำคำให้การต่อศาลได้ โดยผู้ถูกฟ้องคดีสามารถดาวน์โหลดแบบฟอร์มคำให้การได้จากเว็บไซต์ของศาลปกครอง และสามารถยื่นคำให้การด้วยตนเองที่ศาลปกครอง ส่งทางไปรษณีย์ลงทะเบียน หรือยื่นทางระบบอิเล็กทรอนิกส์ ซึ่งการดำเนินคดีปกครองผู้ถูกฟ้องคดีสามารถดำเนินการได้ด้วยตนเองโดยไม่จำเป็นต้องใช้ทนายความก็ได้
"
2025-01-03 12:59:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),บุคคลทั่วไป,ข้าราชการ/ลูกจ้าง ในหน่วยงานของรัฐ,กรุงเทพมหานคร,การบริหารงานบุคคล/และวินัย,มาตรา 9 วรรค 1 (1) คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ กระทำการโดยไม่ชอบด้วยกฎหมาย,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, ขั้นตอนแก้ไขความเสียหายก่อนฟ้องคดี",ผู้ขอคำปรึกษาสอบถามว่า ได้รับคำสั่งแต่งตั้งโยกย้ายไม่เป็นธรรม โดยได้ยื่นอุทธรณ์ต่อผู้ออกคำสั่งแล้ว สามารถนำเรื่องมาฟ้องคดีต่อศาลปกครองได้เลยหรือไม่,ได้ให้คำแนะนำว่า กรณีที่หน่วยงานทางปกครองมีคำสั่งแต่งตั้งโยกย้ายผู้ขอคำปรึกษา ซึ่งผู้ขอคำปรึกษาเห็นว่าคำสั่งโยกย้ายอันเป็นคำสั่งทางปกครอง ตามมาตรา 5 แห่งพระราชบัญญัติวิธีปฏิบัติราชการทางปกครอง พ.ศ. 2539 ดังกล่าวไม่เป็นธรรม  ผู้ขอคำปรึกษาจะต้องตรวจสอบว่าเรื่องดังกล่าวมีกฎหมายเฉพาะกำหนดเรื่องการอุทธรณ์คำสั่งทางปกครองไว้หรือไม่อย่างไร ทั้งนี้ หากมีกฎหมายเฉพาะกำหนดไว้อย่างไรแล้วผู้ขอคำปรึกษาจะต้องปฏิบัติตามกฎหมายเฉพาะนั้น แต่หากไม่มีกฎหมายเฉพาะกำหนดไว้ ผู้ขอคำปรึกษาจะต้องปฏิบัติตามพระราชบัญญัติวิธีปฏิบัติราชการทางปกครอง พ.ศ. 2539 โดยจะต้องยื่นอุทธรณ์คำสั่งนั้นต่อเจ้าหน้าที่ผู้ทำคำสั่งทางปกครอง ภายใน 15 วัน นับแต่วันที่ได้รับแจ้งคำสั่งดังกล่าว ตามมาตรา 44 แห่งพระราชบัญญัติฉบับเดียวกัน ซึ่งกรณีดังกล่าวผู้ขอคำปรึกษาได้อุทธรณ์คำสั่งต่อเจ้าหน้าที่ผู้ทำคำสั่งทางปกครองแล้ว ผู้ขอคำปรึกษาจะต้องรอผลการพิจารณาอุทธรณ์ก่อน หากผู้มีอำนาจพิจารณาอุทธรณ์ไม่แจ้งผลการพิจารณาตามระยะเวลาที่กำหนดไว้ในมาตรา 45 แห่งพระราชบัญญัติวิธีปฏิบัติราชการทางปกครอง พ.ศ. 2539 หรือได้รับแต่ผู้ขอคำปรึกษาไม่เห็นด้วยกับผลการพิจารณาดังกล่าว และเห็นว่าตนเป็นผู้ได้รับความเดือดร้อนหรือเสียหายที่มีสิทธิฟ้องคดีต่อศาลปกครอง ตามมาตรา 42 แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 จากการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐกระทำการโดยไม่ชอบด้วยกฎหมายในการออกคำสั่งทางปกครอง ผู้คำปรึกษาจะต้องยื่นฟ้องคดีต่อศาลปกครองภายใน 90 วัน นับแต่วันที่รู้หรือควรรู้ถึงเหตุแห่งการฟ้องคดี ตามมาตรา 9 วรรคหนึ่ง (1) ประกอบมาตรา 49 แห่งพระราชบัญญัติฉบับเดียวกัน
2025-01-03 13:13:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,การละเลยต่อหน้าที่หรือปฏิบัติหน้าที่ล่าช้าเกินสมควร,มาตรา 9 วรรค 1 (2) คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ ละเลยต่อหน้าที่ตามที่กฎหมายกำหนด,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ผู้ขอคำปรึกษาเป็นผู้รับมอบอำนาจจากผู้ฟ้องคดี ได้รับคำสั่งเรียกให้ทำคำคัดค้านคำให้การ โดยศาลรับคำให้การของผู้ร้องสอดทั้งสามเฉพาะในส่วนของข้อ 1 ข้อ 2 และข้อ 4  ไว้พิจารณา หมายความว่าอย่างไร,ได้ให้คำแนะนำว่า กรณีที่ศาลรับคำให้การของผู้ร้องสอดทั้งสามเฉพาะในส่วนของข้อ 1 ข้อ 2 และข้อ 4  ไว้พิจารณา หมายความว่า ศาลไม่รับคำให้การของผู้ร้องสอดทั้งสามในส่วนของข้อ 3 ไว้พิจารณา จึงให้ผู้ฟ้องคดีทำคำค้านคำให้การของผู้ร้องสอดทั้งสามเฉพาะประเด็นในข้อ 1 ข้อ 2 และข้อ 4 เท่านั้น โดยผู้ฟ้องคดีจะต้องทำคำคัดค้านหรือยอมรับคำให้การหรือพยานหลักฐานที่ผู้ร้องสอดทั้งสามยื่นต่อศาล พร้อมพยานหลักฐานตามจำนวนและภายในระยะเวลาที่ศาลกำหนด ถ้าผู้ฟ้องคดีไม่ประสงค์จะทำคำคัดค้านคำให้การ แต่ประสงค์จะให้ศาลพิจารณาพิพากษาคดีต่อไปให้ผู้ฟ้องคดีแจ้งเป็นหนังสือให้ศาลทราบภายในกำหนดระยะเวลาดังกล่าว มิเช่นนั้น ศาลจะสั่งจำหน่ายคดีออกจากสารบบความก็ได้ ตามข้อ 47 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 ซึ่งคำคัดค้านคำให้การของผู้ฟ้องคดีให้มีได้เฉพาะในประเด็นที่ได้ยกขึ้นกล่าวในคำฟ้อง คำให้การ หรือที่ศาลกำหนด ถ้าผู้ฟ้องคดีทำคำคัดค้านคำให้การโดยมีประเด็นหรือคำขอเพิ่มขึ้นใหม่ต่างจากคำฟ้อง คำให้การ หรือที่ศาลกำหนด ให้ศาลสั่งไม่รับประเด็นหรือคำขอใหม่นั้นไว้พิจารณา 
