จังหวัด,ศาลปกครองที่มีเขตอำนาจ
กรุงเทพมหานคร,ศาลปกครองกลาง
นครปฐม,ศาลปกครองกลาง
นนทบุรี,ศาลปกครองกลาง
ปทุมธานี,ศาลปกครองกลาง
สมุทรปราการ,ศาลปกครองกลาง
สมุทรสาคร,ศาลปกครองกลาง
นครนายก,ศาลปกครองกลาง
สระบุรี,ศาลปกครองกลาง
เชียงใหม่,ศาลปกครองเชียงใหม่
เชียงราย,ศาลปกครองเชียงใหม่
แม่ฮ่องสอน,ศาลปกครองเชียงใหม่
ลำปาง,ศาลปกครองเชียงใหม่
ลำพูน,ศาลปกครองเชียงใหม่
น่าน,ศาลปกครองเชียงใหม่
พะเยา,ศาลปกครองเชียงใหม่
แพร่,ศาลปกครองเชียงใหม่
สงขลา,ศาลปกครองสงขลา
ตรัง,ศาลปกครองสงขลา
พัทลุง,ศาลปกครองสงขลา
สตูล,ศาลปกครองสงขลา
นครราชสีมา,ศาลปกครองนครราชสีมา
ชัยภูมิ,ศาลปกครองนครราชสีมา
บุรีรัมย์,ศาลปกครองนครราชสีมา
สุรินทร์,ศาลปกครองนครราชสีมา
ขอนแก่น,ศาลปกครองขอนแก่น
กาฬสินธุ์,ศาลปกครองขอนแก่น
มหาสารคาม,ศาลปกครองขอนแก่น
มุกดาหาร,ศาลปกครองขอนแก่น
พิษณุโลก,ศาลปกครองพิษณุโลก
กำแพงเพชร,ศาลปกครองพิษณุโลก
ตาก,ศาลปกครองพิษณุโลก
พิจิตร,ศาลปกครองพิษณุโลก
สุโขทัย,ศาลปกครองพิษณุโลก
อุตรดิตถ์,ศาลปกครองพิษณุโลก
ระยอง,ศาลปกครองระยอง
จันทบุรี,ศาลปกครองระยอง
ฉะเชิงเทรา,ศาลปกครองระยอง
ชลบุรี,ศาลปกครองระยอง
ตราด,ศาลปกครองระยอง
ปราจีนบุรี,ศาลปกครองระยอง
สระแก้ว,ศาลปกครองระยอง
นครศรีธรรมราช,ศาลปกครองนครศรีธรรมราช
สุราษฎร์ธานี,ศาลปกครองนครศรีธรรมราช
ชุมพร,ศาลปกครองนครศรีธรรมราช
อุดรธานี,ศาลปกครองอุดรธานี
เลย,ศาลปกครองอุดรธานี
หนองคาย,ศาลปกครองอุดรธานี
หนองบัวลำภู,ศาลปกครองอุดรธานี
นครพนม,ศาลปกครองอุดรธานี
บึงกาฬ,ศาลปกครองอุดรธานี
สกลนคร,ศาลปกครองอุดรธานี
อุบลราชธานี,ศาลปกครองอุบลราชธานี
ยโสธร,ศาลปกครองอุบลราชธานี
ร้อยเอ็ด,ศาลปกครองอุบลราชธานี
ศรีสะเกษ,ศาลปกครองอุบลราชธานี
อำนาจเจริญ,ศาลปกครองอุบลราชธานี
เพชรบุรี,ศาลปกครองเพชรบุรี
ประจวบคีรีขันธ์,ศาลปกครองเพชรบุรี
ราชบุรี,ศาลปกครองเพชรบุรี
สมุทรสงคราม,ศาลปกครองเพชรบุรี
นครสวรรค์,ศาลปกครองนครสวรรค์
ชัยนาท,ศาลปกครองนครสวรรค์
เพชรบูรณ์,ศาลปกครองนครสวรรค์
อุทัยธานี,ศาลปกครองนครสวรรค์
ลพบุรี,ศาลปกครองนครสวรรค์
สุพรรณบุรี,ศาลปกครองสุพรรณบุรี
กาญจนบุรี,ศาลปกครองสุพรรณบุรี
พระนครศรีอยุธยา,ศาลปกครองสุพรรณบุรี
สิงห์บุรี,ศาลปกครองสุพรรณบุรี
อ่างทอง,ศาลปกครองสุพรรณบุรี
ภูเก็ต,ศาลปกครองภูเก็ต
กระบี่,ศาลปกครองภูเก็ต
พังงา,ศาลปกครองภูเก็ต
ระนอง,ศาลปกครองภูเก็ต
ยะลา,ศาลปกครองยะลา
ปัตตานี,ศาลปกครองยะลา
นราธิวาส,ศาลปกครองยะลา
